,LinearRegression select feature,LinearRegression all feature,RandomForest select feature,RandomForest all feature,LightGBM select feature,LightGBM all feature,PolyRegression select feature,PolyRegression all feature,XGBoost select feature,XGBoost all feature,Decision Tree
RMSE,22.170934035075707,21.698732486462205,20.564679843793435,17.489386748210375,20.705907969104032,16.520827645675826,21.159447616257165,21.196213190226718,21.706433147617187,16.7510650876363,21.8658880836148
MAE,34.05029727923321,33.280628982893084,29.387259464449347,24.33353284913377,29.618618829613467,23.2152176638091,31.533761566361765,31.612584765956278,31.029348218960223,22.68866906693665,31.950508418943684
R2,0.2680115897411882,0.31614421083232336,0.433016303113842,0.6155216158285153,0.43494865583486586,0.7153899431435797,0.39367905515743995,0.46474442992238274,0.4055496070886483,0.6674577009179234,0.33072906289165505
EVS,0.26834463325114033,0.316383239214468,0.433720492501692,0.6159724114636309,0.4352404322195569,0.7167111713125376,0.3961964379854902,0.4650419155959591,0.40569152086123905,0.6675072716266346,0.3312907564702542
